dataset,step,wall_s,peak_host_mb,peak_gpu_mb
2M,load_zarr,1.94,1910,1721
2M,h2d_transfer,0.06,1926,1723
2M,preprocessing,37.53,9820,6893
2M,hvg,41.04,10289,8963
2M,scaling,0.12,6324,3261
2M,pca,1.52,7005,3893
2M,neighbors,9.35,7496,7475
2M,umap,10.72,8259,5061
2M,leiden,24.07,8559,5441
2M,write_results,0.15,8026,3661
2M,total,126.49,10289,8963
5M,load_zarr,15.55,5167,1721
5M,h2d_transfer,0.40,4154,1723
5M,preprocessing,136.39,15406,5183
5M,hvg,162.06,16328,9715
5M,scaling,0.52,9467,4483
5M,pca,7.94,10987,6305
5M,neighbors,47.13,11931,15819
5M,umap,37.14,14648,9679
5M,leiden,104.53,14279,9953
5M,write_results,0.19,12344,5181
5M,total,511.85,16328,15819
13M,load_zarr,121.13,34298,1721
13M,h2d_transfer,0.06,20980,1723
13M,preprocessing,332.87,28335,5677
13M,hvg,378.88,31932,25029
13M,scaling,0.40,27403,9653
13M,pca,6.71,30794,14373
13M,neighbors,114.14,33338,37675
13M,umap,203.90,39102,22933
13M,leiden,265.34,39228,23223
13M,write_results,0.38,33921,11347
13M,total,1423.81,39228,37675
